id,name,description,priority,dateadded,startdate,duedate,datefinished,addedfrom,is_added_from_contact,status,recurring_type,repeat_every,recurring,is_recurring_from,cycles,total_cycles,custom_recurring,last_recurring_date,rel_id,rel_type,is_public,billable,billed,invoice_id,hourly_rate,milestone,kanban_order,milestone_order,visible_to_client,deadline_notified
2,Home page picture in place of sunflower picture,Client to share the picture in place of the sunflower picture which is currently on the home page.&nbsp; please collect from the client and put on the website,2,13-12-2018 21:46,13-12-2018,15-12-2018,05-01-2019 10:46,1,0,5,NULL,0,0,NULL,0,0,0,NULL,2,project,0,0,0,0,0,0,0,0,1,0
3,Membership Plan Opions,"Make the membership plan options as below:<br /><br /><strong>Total three plans:<br /><br />Basic:&nbsp; </strong>there is no change.<strong><strong><br /><br /><span>Premium<br /></span></strong></strong>
<div>$39 Month</div>
<div>Verified profile &amp; more trust</div>
<div>Above basic members</div>
<div>Free online basic marketing training</div>
<div>Link to your website</div>
<div>Get customers</div>
<div>10% Product discounts (off wholesale prices)</div>
<div>X<br /><br /><br /><br /><br /></div>
<strong><strong><span></span><span>Featured</span><br /></strong></strong>
<div>$99 / month</div>
<div>Verified profile &amp; more trust</div>
<div>Above all basic &amp; premium members</div>
<div>Free online basic marketing training&nbsp;</div>
<div>Unlimited advanced sales and marketing&nbsp; training</div>
<div>Link to your website</div>
<div>Get customer</div>
<div>20% Product discounts(off wholesale prices)</div>
<div>Premium support</div>",4,13-12-2018 21:47,13-12-2018,NULL,05-01-2019 10:46,1,0,5,NULL,0,0,NULL,0,0,0,NULL,2,project,0,0,0,0,0,0,0,0,1,0
4,Payment page (join now),"<div>Payment page (join now)</div>
<div></div>
<div>Create Listing: Premium&nbsp;</div>
<div>Please correct prices to read:</div>
<div>Monthly: $39.00 per month&nbsp;</div>
<div>Anually: $399.00 Per Year&nbsp; (Save 15% per year with this option)</div>
<div></div>
<div></div>
<div>Create Listing: Featured</div>
<div>Please correct prices to read:</div>
<div>Monthly: $99 per Month</div>
<div>Annually: $999.00 per Year</div>
<div>(Save 16% per year with this option)</div>
<div></div>
<div>also fix order summary on both pages</div>",2,13-12-2018 21:48,13-12-2018,NULL,05-01-2019 10:46,1,0,5,NULL,0,0,NULL,0,0,0,NULL,2,project,0,0,0,0,0,0,0,0,1,0
5,Other vac shops to be loaded from csv to site,"<p>Hi,<br /><br />The file which you shared over excel sheet is been added to this ticket. Converting this ticket to&nbsp; a task and been assigned to a specialist.&nbsp;</p>
<p>We will get back to you ASAP.</p>",2,14-12-2018 00:09,14-12-2018,NULL,05-01-2019 10:46,1,0,5,NULL,0,0,NULL,0,0,0,NULL,2,project,0,0,0,0,999,0,0,0,1,0
6,To pay to Priyanka for Bus Pass,Ask priyanka to send the bank details. Few docs pending.<br /><br /><br /><br />,3,14-12-2018 00:15,15-12-2018,NULL,NULL,1,0,2,NULL,0,0,NULL,0,0,0,NULL,4,ticket,0,1,0,0,0,0,0,0,0,0
7,Add facebook pixels,"Our old devleopers said this:<br /><br />
<div>You can achieve this with hook and add the Facebook Pixel code into the customers area.</div>
<div></div>
<div>E.q. in application/helpers/ create file (if don't exists) my_functions_helper.php and add the following code:</div>
<div></div>
<div>add_action('customers_after_js_scripts_load','my_customers_area_analytics_code');</div>
<div>function my_customers_area_analytics_code(){</div>
<div>&nbsp; &nbsp; ?&gt;</div>
<div>&nbsp; &nbsp; &lt;!-- PASTE PIXEL CODE HERE --&gt;</div>
<div>&nbsp; &nbsp; &lt;?php</div>
<div>}</div>
<div></div>
<div>Don't forget to add the &lt;?php opening tag at the top of this file if it's not already there.</div>
<div></div>
<div>Hope this help.</div>
<div></div>
<div>Best Regards</div>
<div>Marjan</div>",2,14-12-2018 05:37,14-12-2018,NULL,15-12-2018 06:43,1,0,5,NULL,0,0,NULL,0,0,0,NULL,3,project,0,0,0,0,0,0,0,0,1,0
8,Add GoogleAnalytics,Add GoogleAnalytics&nbsp; &nbsp;as same as you added Facebook pixels,2,14-12-2018 05:38,14-12-2018,22-12-2018,03-02-2024 13:19,1,0,5,NULL,0,0,NULL,0,0,0,NULL,3,project,0,1,0,0,0,0,0,0,1,1
10,Email replies to a task should get inside task,"When we create the task in pmp.<br />Two type of emails goes to the client.<br />
<ol>
<li>When admin / client itself create the task.</li>
<li>When admin/employees comments on the task.</li>
</ol>
<p>When client receives this email, client replies it directly (without changing the subject line). These emails are been read by pmp software currently and creating a support ticket. (Because any emails which our software reads via imap settings, any unread emails gets read by our software and creates a support ticket.)</p>
<p></p>
<p><strong>What we need to happen is:</strong><br />When our software sends an email to the client, it will have specific words on the subject line. From the subject header and/or of the subject line, our software should recognise is the client sending an email has specific words in header/subject line and put those mail text to respective places and specific ticket / task id.</p>",3,14-12-2018 09:54,14-12-2018,24-12-2018,07-04-2025 15:24,1,0,5,NULL,0,0,NULL,0,0,0,NULL,3,project,0,0,0,0,0,0,0,0,1,1
11,"Add google maps api, captcha api in vacuumrepairshop.com(crendentials of gmail inside)","<strong>Credentials:</strong><br />
<div id="":6x.ma"" class=""Mu SP"" data-tooltip=""December 14, 2018 at 11:23:37 PM UTC+5:30""><span id="":6x.co"" class=""tL8wMe EMoHub"" dir=""ltr""><a rel=""nofollow noreferrer noopener"" target=""_blank"" href=""mailto:kickassvacuums@gmail.com"" class=""Xx"" dir=""ltr"" data-display=""kickassvacuums@gmail.com"" data-sanitized=""mailto:kickassvacuums@gmail.com"" tabindex=""-1"">kickassvacuums@gmail.com</a></span></div>
<div id="":6y.ma"" class=""Mu SP"" data-tooltip=""December 14, 2018 at 11:25:44 PM UTC+5:30"">
<div id="":6y.at"" class=""xH""></div>
<span id="":6y.co"" class=""tL8wMe EMoHub"" dir=""ltr"">kickasspass1</span></div>",2,14-12-2018 13:23,14-12-2018,NULL,05-01-2019 10:46,1,0,5,NULL,0,0,NULL,0,0,0,NULL,2,project,0,1,0,0,0,0,0,0,1,0
12,Subcategory planning,to plan subcategories inside each of the main categories. to check at yelp / any competition site if any.,2,14-12-2018 13:25,14-12-2018,NULL,05-01-2019 10:46,1,0,5,NULL,0,0,NULL,0,0,0,NULL,2,project,0,1,0,0,0,0,0,0,1,0
13,Training call,,2,14-12-2018 13:26,14-12-2018,NULL,05-01-2019 10:46,1,0,5,NULL,0,0,NULL,0,0,0,NULL,2,project,0,1,0,0,0,0,0,0,1,0
14,Add/upload products by members,"<ol>
<li>BD site's members can upload/add<span>&nbsp;</span><span class=""il"">products</span><span>&nbsp;</span>from their respective dashboard.<br /><br /></li>
<li>The number of<span>&nbsp;</span><span class=""il"">products</span><span>&nbsp;</span>they can upload every month, or in a year will be dependent upon membership levels.</li>
</ol>",2,14-12-2018 13:51,14-12-2018,NULL,30-05-2025 17:18,1,0,5,NULL,0,0,NULL,0,0,0,NULL,4,project,0,0,0,0,0,1,0,1,0,0
15,Member's payment settings - PayPal,"<div>In the dashboard in the backend, we will make a place (customize) that your members can mention<b><span>&nbsp;</span>their respective PayPal email address,</b><span>&nbsp;</span>which you can validate through a mutually agreed way so that it once gets on your records. (So when a customer makes payment, payment goes to their PayPal&nbsp;of sellers)</div>
<div></div>
<div></div>",2,14-12-2018 13:52,14-12-2018,NULL,30-05-2025 17:18,1,0,5,NULL,0,0,NULL,0,0,0,NULL,4,project,0,0,0,0,0,1,1,0,0,0
16,Product buying experience in front end,"<div>We will customize the<span>&nbsp;</span><span class=""il"">products</span><span>&nbsp;</span>module, in a manner, that the customer's purchases<span>&nbsp;</span><span class=""il"">products</span><span>&nbsp;</span>from your BD site, from the seller's<span>&nbsp;</span><span class=""il"">products</span><span>&nbsp;</span>catalog or<span>&nbsp;</span><span class=""il"">product</span><span>&nbsp;</span>page, and pays.<br /><br /><br /></div>",2,14-12-2018 13:53,14-12-2018,NULL,30-05-2025 17:18,1,0,5,NULL,0,0,NULL,0,0,0,NULL,4,project,0,1,0,0,0,1,2,3,1,0
17,Product active or inactive based on wallet deposits by members,"<div>Member(Sellers) has to make a deposit with your site, and when the deposit is there, the<span>&nbsp;</span><span class=""il"">products</span><span>&nbsp;</span>added by the sellers stay active, When deposit goes below $0.01 the<span>&nbsp;</span><span class=""il"">products</span>goes inactive.</div>
<div>&nbsp;</div>",2,14-12-2018 13:57,14-12-2018,NULL,30-05-2025 17:18,1,0,5,NULL,0,0,NULL,0,0,0,NULL,4,project,0,1,0,0,0,1,0,2,1,0
